name,address,latitude,longitude
半嶺,站牌代碼 9469,25.118866,121.568882
林森北路一,站牌代碼 1273,25.050738,121.524846
捷運芝山站(福�,站牌代碼 14671,25.102008,121.522678
指南宮,站牌代碼 1000859,24.981345,121.585199
微風廣場,站牌代碼 1586,25.044687,121.54485
菁山里(三),站牌代碼 1001441,25.140982,121.567575
石油新村,站牌代碼 684,25.106791,121.525954
臥龍新村,站牌代碼 6016,25.012378,121.563658
川瀨,站牌代碼 14402,25.11631,121.56738
週美里一,站牌代碼 50407,25.056375,121.58197
新民路底,站牌代碼 1000257,25.141676,121.514253
新安,站牌代碼 865,25.124968,121.550039
捷運古亭站(杭�,站牌代碼 2313,25.02884,121.521959
東昇路口,站牌代碼 233,25.141536,121.515774
富德公墓,站牌代碼 1702,25.012347,121.579329
北投垃圾焚化�,站牌代碼 203,25.11446,121.502414
光華商場,站牌代碼 6693,25.046053,121.53165
錦州街口,站牌代碼 1001090,25.060858,121.530339
二二八和平公�,站牌代碼 1848,25.042369,121.512544
日月農莊,站牌代碼 161,25.179302,121.569246
仙岩公園,站牌代碼 4877,24.997358,121.549769
士林,站牌代碼 569,25.095912,121.524279
濱江商圈,站牌代碼 3986,25.066088,121.539174
克勤新村,站牌代碼 4032,25.025969,121.560532
奇岩一站,站牌代碼 212,25.123072,121.50455
北投文物館,站牌代碼 20227,25.138751,121.5142
臺北護理健康�,站牌代碼 1842,25.041591,121.503163
環山路,站牌代碼 8608,25.086361,121.57136
萬金路口,站牌代碼 1000913,25.109322,121.48652
政大圖書館,站牌代碼 14510,24.986462,121.577256
行忠行愛路口,站牌代碼 1032,25.06541,121.57901
三重里,站牌代碼 55005,25.06062,121.611221
南港抽水站,站牌代碼 5055,25.06113,121.61237
觀景台,站牌代碼 4839,25.14825,121.51221
明水路一,站牌代碼 1264,25.083472,121.550749
榮光新村(榮總�,站牌代碼 14629,25.120121,121.522957
通北街口,站牌代碼 9441,25.080795,121.541114
內湖派出所,站牌代碼 1000018,25.082457,121.590992
菁山里(三),站牌代碼 841,25.140873,121.567545
復興中學,站牌代碼 3990,25.14078,121.50004
桂林路,站牌代碼 1783,25.038354,121.501103
臺灣戲曲中心,站牌代碼 14672,25.102083,121.519476
景福街,站牌代碼 2466,24.995781,121.536358
臺北車站(青島),站牌代碼 1890,25.04482,121.518405
時報大樓,站牌代碼 20354,25.03317,121.49716
黎安里,站牌代碼 2171,25.012322,121.564779
臨江園,站牌代碼 942,25.101801,121.488932
大同街口,站牌代碼 5059,25.138719,121.499581
士林監理站,站牌代碼 1000964,25.093188,121.514251
擎天崗,站牌代碼 936,25.167048,121.573815
玄覺寺,站牌代碼 2074,25.023046,121.561662
老人自費安養�,站牌代碼 4818,24.986706,121.561985
平等國小,站牌代碼 9479,25.129775,121.576613
華江派出所,站牌代碼 1000096,25.034006,121.493016
清天宮,站牌代碼 394,25.159885,121.500823
長安國小(吉林),站牌代碼 1290,25.049345,121.529848
洲美里,站牌代碼 7225,25.102895,121.500339
前半嶺,站牌代碼 9463,25.116956,121.568237
長沙街,站牌代碼 1774,25.040586,121.505642
行仁里,站牌代碼 1000862,25.065783,121.541005
中山區公所,站牌代碼 16266,25.06493,121.533564
溪口國小,站牌代碼 2487,24.993688,121.538848
衛生福利部,站牌代碼 1001045,25.050778,121.596034
萬華醫院,站牌代碼 1817,25.02375,121.509796
精技大樓,站牌代碼 1001443,25.064269,121.582452
陽明書屋,站牌代碼 82,25.163093,121.544836
新北投,站牌代碼 7210,25.137696,121.504159
振興街,站牌代碼 20240,25.118587,121.521957
捷運芝山站(福�,站牌代碼 14673,25.101765,121.522741
聯勤陽明山招�,站牌代碼 944,25.148108,121.549305
和德里,站牌代碼 1760,25.024898,121.490688
光興宮,站牌代碼 688,25.12022,121.55992
臺北車站(公園),站牌代碼 1884,25.044148,121.516907
天壽里,站牌代碼 1000567,25.117695,121.525984
奇岩新村,站牌代碼 213,25.125899,121.50816
德行忠誠路口,站牌代碼 4710,25.108254,121.52972
沙崙,站牌代碼 9485,25.11377,121.56668
捷運奇岩站(北�,站牌代碼 20369,25.125629,121.501038
麥田紫藤,站牌代碼 4879,24.99552,121.550946
陳厝,站牌代碼 14410,25.13507,121.57406
萬福國小,站牌代碼 1001479,25.004873,121.536088
菁山里(一),站牌代碼 1001453,25.143649,121.564211
台北海大,站牌代碼 911,25.108188,121.470878
洲美里,站牌代碼 1001350,25.102895,121.500054
政大二街,站牌代碼 1001387,24.986202,121.584582
天山里,站牌代碼 14674,25.119871,121.533523
妙法寺,站牌代碼 704,25.122833,121.587016
衡陽路口,站牌代碼 6686,25.042686,121.513147
新安路六,站牌代碼 873,25.129286,121.555073
龍門國中(建國),站牌代碼 6022,25.026411,121.538153
捷運內湖站(內�,站牌代碼 50423,25.084374,121.593177
福德廟(石牌),站牌代碼 14619,25.123541,121.525496
關渡路口,站牌代碼 1000391,25.122651,121.469371
大坪尾,站牌代碼 9474,25.122926,121.57254
堤頂大道口,站牌代碼 1102,25.076813,121.563073
小油坑服務站,站牌代碼 592,25.176902,121.547521
西門市場(漢中),站牌代碼 1753,25.041984,121.507436
自來水博物館(�,站牌代碼 1918,25.014077,121.530694
景福門,站牌代碼 2003,25.03787,121.51751
岩山里一,站牌代碼 55009,25.103513,121.537024
明水路三,站牌代碼 1268,25.077402,121.549309
舊莊公園,站牌代碼 50094,25.041123,121.620662
平菁街93巷,站牌代碼 2012,25.137796,121.57844
