listing_id,aspect,mentions,pos,neg,avg_score,neg_ratio,pos_ratio
289298,床與睡眠,11,7,0,0.909,0.0,0.6364
289298,性價比,13,6,0,0.846,0.0,0.4615
289298,房東服務,90,67,0,1.667,0.0,0.7444
289298,早餐餐飲,10,2,1,0.2,0.1,0.2
289298,清潔,79,76,0,1.797,0.0,0.962
289298,空調冷氣,4,3,0,1.0,0.0,0.75
289298,空間大小,42,20,11,0.714,0.2619,0.4762
289298,網路WiFi,15,6,2,0.4,0.1333,0.4
289298,衛浴熱水,21,6,0,0.524,0.0,0.2857
289298,設備廚房,30,16,3,1.333,0.1,0.5333
289298,隔音噪音,21,18,1,1.429,0.0476,0.8571
646629,位置交通,161,113,1,1.329,0.0062,0.7019
646629,入住流程,20,9,0,0.5,0.0,0.45
646629,床與睡眠,40,15,4,0.675,0.1,0.375
646629,性價比,29,18,2,1.103,0.069,0.6207
646629,房東服務,139,105,1,1.482,0.0072,0.7554
646629,早餐餐飲,55,24,2,0.509,0.0364,0.4364
646629,清潔,49,42,1,1.551,0.0204,0.8571
646629,空調冷氣,14,5,2,0.5,0.1429,0.3571
646629,空間大小,84,41,12,0.655,0.1429,0.4881
646629,網路WiFi,4,3,0,2.25,0.0,0.75
646629,衛浴熱水,16,3,5,-0.312,0.3125,0.1875
646629,設備廚房,23,9,1,0.435,0.0435,0.3913
