id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person,dist_to_nearest_mrt_m,mrt_count_500m,bus_stops_count_300m,bus_stops_count_500m,conv_stores_count_200m,conv_stores_count_500m,restaurants_count_500m,dist_to_nearest_park_m,park_count_500m,dist_to_nearest_clinic_m,dist_to_nearest_school_m,avg_review_sentiment,avg_review_length,has_no_reviews
9669477,20812835,25.03192,121.5585,信義區,Entire home/apt,0.2794520547945205,0,2,0.0,1.0,1.0,False,3500.0,7,1125,7.0,0,0,0,2,4.6,4.4,4.2,5.0,4.8,4.8,4.2,0.7315035799522673,0.1432225063938619,0.5588235294117647,431,317,0.6,1.0,3.0,0,9,8,4047,188,0,163,19,15,8,26.9375,1750.0,,0.5,345.66975168010737,2,12,24,7,28,558,271.9392998671564,6,340.29531334127125,257.4214026689971,0.70106,217.4,0
9686963,50036082,25.04166,121.56996,信義區,Entire home/apt,0.473972602739726,0,2,1.0,1.0,1.0,False,30000.0,7,1125,7.0,0,0,0,2,4.9,4.92,4.87,4.99,4.95,4.96,4.83,1.0,0.6086956521739131,1.0588235294117647,306,218,,,0.0,0,1,1,3594,651,163,253,36,18,6,16.105263157894736,15000.0,30000.0,0.5,283.42317506221434,4,9,24,1,22,351,49.08956136668612,8,180.7324211206165,290.4351775021757,0.5588733333333333,354.4,0
9715354,38226561,25.05848,121.54784,松山區,Entire home/apt,0.1863013698630137,0,6,3.0,5.0,2.0,False,8808.0,2,1125,2.0,0,0,0,10,4.93,4.89,4.9,4.93,4.95,4.78,4.85,0.9634146341463414,0.6324503311258278,1.375,101,83,0.75,1.0,4.0,1,1,1,3733,186,78,411,44,20,6,4.809523809523809,1468.0,2936.0,0.8333333333333334,468.2888284784151,1,7,18,3,24,356,26.8905141751605,8,107.96850279182009,326.2919751525486,0.41168,227.5,0
9788632,46543449,25.04089,121.50458,萬華區,Entire home/apt,0.5506849315068493,0,6,1.0,3.0,1.0,False,3552.0,1,1125,1.0,1,0,0,11,4.75,4.83,4.65,4.91,4.93,4.91,4.6,0.8745928338762216,0.3685326547921967,1.148148148148148,1568,1315,1.0,,0.0,1,1,1,3639,1000,0,432,31,119,50,13.066666666666666,592.0,3552.0,0.5,331.237076394598,6,16,35,7,36,469,243.5573316724895,4,63.09110289232873,266.8397989445945,0.3326033333333333,124.26666666666667,0
9852663,50337636,25.0436,121.57001,信義區,Entire home/apt,0.5287671232876713,0,2,1.0,2.0,1.0,False,2188.0,7,365,6.6,1,0,0,2,4.85,4.84,4.85,4.95,4.96,4.79,4.76,0.3198090692124105,0.4910485933503836,0.8823529411764706,323,228,1.0,1.0,4.0,1,10,7,3590,57,90,0,30,26,3,11.962962962962964,1094.0,2188.0,1.0,385.6851522485049,2,11,26,3,25,330,141.07227301938804,9,121.83403319375716,422.7213906396383,0.18449666666666667,146.9,0
9868533,50417341,25.08572,121.52482,士林區,Private room,0.0,0,4,,,5.0,True,,30,365,30.0,1,1,2,6,4.0,3.8,4.0,4.4,4.6,5.0,4.2,,0.0465116279069767,1.9615384615384608,116,23,1.0,1.0,3.0,1,5,5,3589,119,0,0,51,20,11,5.523809523809524,,,,84.64498768580107,3,9,15,2,16,114,249.7325965811796,4,250.7173717411835,221.32052458387847,0.35935,158.0,0
9950852,25788750,24.99972,121.56979,文山區,Entire home/apt,0.6082191780821918,0,2,0.0,1.0,1.5,False,1573.0,30,1125,29.6,0,1,0,9,4.74,4.86,4.67,4.88,4.94,4.57,4.69,0.3076923076923077,0.28125,1.1111111111111112,8,4,1.0,1.0,3.0,1,2,2,3918,421,35,1000,30,0,0,8.0,786.5,,0.5,188.1965773695084,2,8,27,2,6,11,65.83770856089994,12,204.50048967014777,285.32655079883176,0.3305666666666667,170.6,0
9988638,4812600,25.05009,121.52461,中山區,Entire home/apt,0.4876712328767123,0,2,1.0,1.0,1.0,False,1981.0,30,1125,30.0,0,1,0,0,4.78,4.88,4.79,4.9,4.93,4.77,4.81,0.3293885601577909,0.4274406332453825,1.2653061224489797,632,459,,1.0,4.0,0,1,1,4633,216,60,0,31,105,33,5.962264150943396,990.5,1981.0,0.5,438.88577286134176,2,12,25,11,36,837,280.5573540272237,8,155.39376214679862,495.8397682809691,0.6631533333333334,379.3333333333333,0
10047044,51569195,25.03738,121.5888,信義區,Private room,0.989041095890411,1,2,1.0,1.0,1.0,True,1843.0,1,1125,1.0,0,0,2,2,4.95,4.92,4.97,4.93,4.92,4.64,4.85,0.7928994082840237,0.7290322580645161,2.3043478260869565,42,12,0.5,1.0,4.0,1,1,1,3575,838,5,151,53,0,0,42.0,921.5,1843.0,0.5,991.967688056666,0,5,12,0,6,44,67.49357480614482,1,247.8723391518148,351.59908160167055,0.25605666666666665,75.9,0
10096368,3705836,25.07917,121.58063,內湖區,Entire home/apt,0.2876712328767123,0,12,4.0,7.0,3.0,False,30477.0,31,700,31.0,0,0,0,3,4.83,4.96,4.61,4.83,4.74,4.52,4.57,0.925925925925926,0.6956521739130435,0.4057971014492754,5,5,0.82,0.98,4.0,1,26,26,4749,190,343,205,14,1,1,2.5,2539.75,7619.25,0.5833333333333334,409.8211142571536,2,8,19,3,18,177,225.0277829202708,7,214.48119003964135,525.7014757399622,0.4359173913043478,400.2173913043478,0
