listing_id,cal_start,n_days,booked_mask,booked_rate,booked_days,booked_rate_d30,booked_rate_d60,booked_rate_d90,gap_count_90d,gap_days_90d,gap_longest_90d,gap_first_start,gap_count_30d,gap_days_30d,gap_longest_30d,gap_first_start_30d,min_nights_median,min_nights_varies,is_longterm_only,is_all_blocked,is_all_open,m1_rate,m2_rate,m3_rate,m4_rate,m5_rate,m6_rate,m7_rate,m8_rate,m9_rate,m10_rate,m11_rate,m12_rate
1467817352793388972,2026-06-30,365,11011000000100001000000011111110000001111110000000000000000000000000000000000000000111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6273972602739726,229,0.41935483870967744,0.3114754098360656,0.2967032967032967,4,59,40,2026-07-05,2,13,7,2026-07-05,1.0,1,0,0,0,1.0,0.3871,0.1935,0.3333,0.5161,0.0,0.129,1.0,1.0,1.0,1.0,1.0
1467821229079191098,2026-06-30,365,11001000000110000000000011000000000000000000000000000000000000000000000000000001111100000000000000000010000000000000000000011111000000000000000000000000000000000000010000001000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5589041095890411,204,0.22580645161290322,0.11475409836065574,0.13186813186813187,4,77,53,2026-07-05,3,22,11,2026-07-05,1.0,1,0,0,0,1.0,0.1935,0.0,0.1667,0.0645,0.1333,0.1935,1.0,1.0,1.0,1.0,1.0
1467846222299024013,2026-06-30,365,11111100000110000111000000111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.04657534246575343,17,0.5161290322580645,0.2786885245901639,0.18681318681318682,3,70,59,2026-07-06,2,11,6,2026-07-06,2.0,0,0,0,0,1.0,0.5161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1467847527855514791,2026-06-30,365,11111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5178082191780822,189,0.16129032258064516,0.08196721311475409,0.054945054945054944,1,86,86,2026-07-05,1,26,26,2026-07-05,1.0,0,0,0,0,1.0,0.129,0.0,0.0,0.0,0.0,0.129,1.0,1.0,1.0,1.0,1.0
1467962243819762318,2026-06-30,365,11111111111111111111111111111111111110011111111111100000000000000000000000000000000000000000000000000000000000000000000001110000011000000000000000000111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.4246575342465753,155,1.0,0.8032786885245902,0.5384615384615384,1,40,40,2026-08-20,0,0,0,,1.0,0,0,0,0,1.0,1.0,0.5484,0.0,0.0968,0.2333,0.0645,0.0,0.0,0.129,1.0,1.0
1468043743108233620,2026-07-01,365,11111101111111111100111011111111100000000111011111111000111001111011111100000000000001111100001111111111011111100111111111100111100111111111111011110000000111110000000111000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.8164383561643835,298,0.8666666666666667,0.7166666666666667,0.6444444444444445,2,21,13,2026-08-03,0,0,0,,3.0,1,0,0,0,,0.871,0.5484,0.4667,0.8387,0.6667,0.4194,1.0,1.0,1.0,1.0,1.0
1468214444191586336,2026-07-01,365,11111111111110000001111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.3315068493150685,121,0.7,0.35,0.23333333333333334,2,69,63,2026-07-14,1,6,6,2026-07-14,5.0,0,0,0,0,,0.6774,0.0,0.0,0.0,0.0,0.0645,0.0968,0.0,0.129,1.0,1.0
1468248060688467629,2026-07-01,365,11111111100000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7780821917808219,284,0.3,0.15,0.1,1,81,81,2026-07-10,1,21,21,2026-07-10,3.0,0,0,0,0,,0.2903,0.0,0.0667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1468291000694561333,2026-06-30,365,11111110011111001111000000111110111110000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7753424657534247,283,0.6774193548387096,0.4262295081967213,0.2857142857142857,2,60,54,2026-07-20,1,6,6,2026-07-20,3.0,0,0,0,0,1.0,0.6452,0.1613,0.0667,1.0,0.4333,1.0,1.0,1.0,1.0,1.0,1.0
1468499560547103502,2026-06-30,365,11011000000000000010000011111111111111111000000000000000000000000000000000000000000000000000000000000011000000000000000000000000000000001110000111000000000000000000010000001000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.5917808219178082,216,0.3870967741935484,0.36065573770491804,0.24175824175824176,3,68,50,2026-07-05,2,18,13,2026-07-05,1.0,1,0,0,0,1.0,0.3871,0.2903,0.0,0.0645,0.2,0.1935,1.0,1.0,1.0,1.0,1.0
