飯店名稱,住宿評等,評論分數,館內熱門設施,住客評論(前3則),行政區,地址,緯度,經度,房型名稱,房間設施,價格,可住宿人數,房型圖片網址,飯店連結
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"5,122",4,#RD403896504,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"5,122",4,N/A,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"4,610",3,N/A,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"4,354",2,N/A,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"2,797",1,#RD403896501,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
拾光嶼 28,N/A,7.6,禁菸客房、免費無線網路、家庭房,「住宿地點不錯離夜市近 性價比可以房間安靜 可以自己辦入住 但是線上辦理超級瑣碎 這個點讓人很頭疼」 | 「環境舒適、乾淨，浴室乾濕分離」 | 「空間寬敞 乾淨 廁所也很新」,大同區,台北大同區2F,25.052558,121.513113,標準房,N/A,"2,797",1,N/A,https://www.booking.com/hotel/tw/sumiyashi20-1.zh-tw.html
Meander 1948,評分為 3 顆星，滿分為 5,9.0,禁菸客房、免費無線網路、洗衣、電梯、早餐評價很好,「服務態度（都好親切） 硬體設備（淋浴間還有乾濕分離超棒，置物空間很大，可以放大行李箱，還有電子鎖木櫃） 整潔乾淨 地理位置非常優越 飲食餐卷（可以去當地美食店家消費）」 | 「很乾淨 服務人員態度很好」 | 「有女性專區、浴室有簡易乾濕分離、個人空間可上鎖」,大同區,台北大同區No,25.050517,121.515144,標準房,N/A,"6,000",4,#RD420263224,https://www.booking.com/hotel/tw/meander-1948.zh-tw.html
Meander 1948,評分為 3 顆星，滿分為 5,9.0,禁菸客房、免費無線網路、洗衣、電梯、早餐評價很好,「服務態度（都好親切） 硬體設備（淋浴間還有乾濕分離超棒，置物空間很大，可以放大行李箱，還有電子鎖木櫃） 整潔乾淨 地理位置非常優越 飲食餐卷（可以去當地美食店家消費）」 | 「很乾淨 服務人員態度很好」 | 「有女性專區、浴室有簡易乾濕分離、個人空間可上鎖」,大同區,台北大同區No,25.050517,121.515144,標準房,N/A,"4,200",2,#RD420263217,https://www.booking.com/hotel/tw/meander-1948.zh-tw.html
Meander 1948,評分為 3 顆星，滿分為 5,9.0,禁菸客房、免費無線網路、洗衣、電梯、早餐評價很好,「服務態度（都好親切） 硬體設備（淋浴間還有乾濕分離超棒，置物空間很大，可以放大行李箱，還有電子鎖木櫃） 整潔乾淨 地理位置非常優越 飲食餐卷（可以去當地美食店家消費）」 | 「很乾淨 服務人員態度很好」 | 「有女性專區、浴室有簡易乾濕分離、個人空間可上鎖」,大同區,台北大同區No,25.050517,121.515144,標準房,N/A,"6,000",2,#RD420263216,https://www.booking.com/hotel/tw/meander-1948.zh-tw.html
Meander 1948,評分為 3 顆星，滿分為 5,9.0,禁菸客房、免費無線網路、洗衣、電梯、早餐評價很好,「服務態度（都好親切） 硬體設備（淋浴間還有乾濕分離超棒，置物空間很大，可以放大行李箱，還有電子鎖木櫃） 整潔乾淨 地理位置非常優越 飲食餐卷（可以去當地美食店家消費）」 | 「很乾淨 服務人員態度很好」 | 「有女性專區、浴室有簡易乾濕分離、個人空間可上鎖」,大同區,台北大同區No,25.050517,121.515144,標準房,N/A,"2,400",1,#RD420263215,https://www.booking.com/hotel/tw/meander-1948.zh-tw.html
Ueno Hirokoji 428,N/A,7.7,禁菸客房、免費無線網路、電梯,"「寧靜舒適」 | 「全程自助式入住取得房卡,流程方便順暢,不須額外客服或是要與服務人員接洽」 | 「浴室乾濕分離」",大同區,台北大同區No,25.056761,121.508631,標準房,N/A,"4,675",4,#RD347725404,https://www.booking.com/hotel/tw/ueno-hirokoji-428.zh-tw.html
Ueno Hirokoji 428,N/A,7.7,禁菸客房、免費無線網路、電梯,"「寧靜舒適」 | 「全程自助式入住取得房卡,流程方便順暢,不須額外客服或是要與服務人員接洽」 | 「浴室乾濕分離」",大同區,台北大同區No,25.056761,121.508631,標準房,N/A,"2,848",2,#RD347725401,https://www.booking.com/hotel/tw/ueno-hirokoji-428.zh-tw.html
Ueno Hirokoji 428,N/A,7.7,禁菸客房、免費無線網路、電梯,"「寧靜舒適」 | 「全程自助式入住取得房卡,流程方便順暢,不須額外客服或是要與服務人員接洽」 | 「浴室乾濕分離」",大同區,台北大同區No,25.056761,121.508631,標準房,N/A,"3,116",2,#RD347725405,https://www.booking.com/hotel/tw/ueno-hirokoji-428.zh-tw.html
華達大飯店,評分為 2 顆星，滿分為 5,6.1,禁菸客房、免費無線網路、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,N/A,中正區,台北中正區重慶南路一段1號,25.046765286026318,121.5133953877314,標準房,N/A,"4,500",4,#RD105533101,https://www.booking.com/hotel/tw/hua-mei-da-fan-dian.zh-tw.html
華達大飯店,評分為 2 顆星，滿分為 5,6.1,禁菸客房、免費無線網路、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,N/A,中正區,台北中正區重慶南路一段1號,25.046765286026318,121.5133953877314,標準房,N/A,"5,400",4,#RD105533102,https://www.booking.com/hotel/tw/hua-mei-da-fan-dian.zh-tw.html
華達大飯店,評分為 2 顆星，滿分為 5,6.1,禁菸客房、免費無線網路、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,N/A,中正區,台北中正區重慶南路一段1號,25.046765286026318,121.5133953877314,標準房,N/A,"4,300",3,#RD105533106,https://www.booking.com/hotel/tw/hua-mei-da-fan-dian.zh-tw.html
華達大飯店,評分為 2 顆星，滿分為 5,6.1,禁菸客房、免費無線網路、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,N/A,中正區,台北中正區重慶南路一段1號,25.046765286026318,121.5133953877314,標準房,N/A,"2,550",2,#RD105533103,https://www.booking.com/hotel/tw/hua-mei-da-fan-dian.zh-tw.html
華達大飯店,評分為 2 顆星，滿分為 5,6.1,禁菸客房、免費無線網路、機場接駁車、家庭房、電梯、行李寄存、每日清潔服務,N/A,中正區,台北中正區重慶南路一段1號,25.046765286026318,121.5133953877314,標準房,N/A,"2,750",2,#RD105533104,https://www.booking.com/hotel/tw/hua-mei-da-fan-dian.zh-tw.html
