公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,分公司核准設立日期,分公司最後核准變更日期,緯度,經度,定位方式,比對地址,定位分數
22555003,統一超商股份有限公司,54914039,台北市第九七五分公司,臺北市信義區忠孝東路4段559巷24號1樓,1,1080723,       ,25.042672089787,121.563781863807,門牌級(arcgis),"台北市信義區新仁里忠孝東路四段559巷24號, 11072",100
22555003,統一超商股份有限公司,54914827,台北市第九０六分公司,臺北市文山區木柵路1段111號1樓,1,1080819,1121128,24.987292687868,121.548009049868,門牌級(arcgis),"台北市文山區試院里木柵路一段111號, 11645",100
22555003,統一超商股份有限公司,54915109,台北市第九七六分公司,臺北市萬華區中華路1段114巷2號1樓,3,1080828,       ,25.043792917879,121.508143377261,門牌級(arcgis),"台北市萬華區萬壽里中華路一段114巷2號, 10802",100
22555003,統一超商股份有限公司,54915234,台北市第九七八分公司,臺北市萬華區昆明街76-1號1樓,1,1080830,       ,25.045647916871,121.505497797162,門牌級(arcgis),"台北市萬華區萬壽里昆明街76之1號, 10843",100
22555003,統一超商股份有限公司,54915298,台北市第九七七分公司,臺北市北投區石牌路1段37號1樓,1,1080902,       ,25.113164859411,121.510295430902,門牌級(arcgis),"台北市北投區吉慶里石牌路一段37號, 11271",100
22555003,統一超商股份有限公司,54915403,台北市第九七九分公司,臺北市大同區華陰街65號1樓,1,1080904,       ,25.049610503507,121.518380782343,門牌級(arcgis),"台北市大同區建明里華陰街65號, 10351",100
22555003,統一超商股份有限公司,54915608,台北市第九八０分公司,臺北市內湖區港華街46號1樓,1,1080909,       ,25.083020811473,121.574780848611,門牌級(arcgis),"台北市內湖區港都里港華街46號, 11449",100
22555003,統一超商股份有限公司,54915712,台北市第九八一分公司,臺北市中山區吉林路97號、99號1樓,1,1080910,       ,25.055934309709,121.530275637337,門牌級(arcgis),"台北市中山區吉林路97號, 104088",98.44
22555003,統一超商股份有限公司,54915874,台北市第九八二分公司,臺北市中山區林森北路587號1樓,1,1080916,       ,25.066037818355,121.525904378633,門牌級(arcgis),"台北市中山區晴光里林森北路587號, 10460",100
22555003,統一超商股份有限公司,54916199,台北市第九八三分公司,臺北市信義區信義路6段21號、23號1樓,1,1080927,       ,25.034525298995,121.575630186859,門牌級(arcgis),"台北市信義區安康里信義路六段21號, 11085",95.84
22555003,統一超商股份有限公司,54916326,台北市第九Ｏ七分公司,臺北市中正區南昌路2段206號1樓,1,1081004,1121128,25.024036604457,121.524309637735,門牌級(arcgis),"台北市中正區頂東里南昌路二段206號, 10084",100
22555003,統一超商股份有限公司,54916424,台北市第九八四分公司,臺北市松山區八德路4段295號、297號1樓,1,1081005,       ,25.049169732647,121.566326746463,門牌級(arcgis),"台北市松山區八德路四段295號, 105056",98.19
22555003,統一超商股份有限公司,54916515,台北市第九八五分公司,臺北市士林區文林路444號1樓,3,1081008,       ,25.095261365685,121.524659666011,門牌級(arcgis),"台北市士林區舊佳里文林路444號, 11159",100
22555003,統一超商股份有限公司,54916775,台北市第九八六分公司,臺北市大安區忠孝東路4段181巷7弄11-1號、11-2號1樓,1,1081015,       ,25.042166591614,121.551235782024,門牌級(arcgis),"台北市大安區東區忠孝東路四段181巷7弄11號, 106076",96.88
22555003,統一超商股份有限公司,54916992,台北市第九八七分公司,臺北市中正區紹興北街3號1樓、B1,1,1081018,       ,25.044583640129,121.525221453034,門牌級(arcgis),"台北市中正區紹興北街3號, 100013",98.24
22555003,統一超商股份有限公司,54917248,台北市第九八八分公司,臺北市內湖區新湖一路95號1樓,1,1081023,       ,25.058612332241,121.576209041093,門牌級(arcgis),"台北市內湖區湖元里新湖一路95號, 11494",100
22555003,統一超商股份有限公司,54917508,台北市第九八九分公司,臺北市大安區和平東路2段38-1號、40號1樓,3,1081029,       ,25.025620915239,121.537059859144,門牌級(arcgis),"台北市大安區和平東路二段38號, 106620",97.73
22555003,統一超商股份有限公司,54917893,台北市第九０八分公司,臺北市大安區和平東路2段38-1號、40號1樓,1,1081106,1121128,25.025620915239,121.537059859144,門牌級(arcgis),"台北市大安區和平東路二段38號, 106620",97.73
22555003,統一超商股份有限公司,54917985,台北市第九九０分公司,臺北市內湖區康寧路3段189巷21弄26號1樓,1,1081108,       ,25.071378054596,121.612373684352,門牌級(arcgis),"台北市內湖區明湖里康寧路三段189巷21弄26號, 11482",100
22555003,統一超商股份有限公司,54918817,台北市第九九一分公司,臺北市內湖區新湖二路369號、行善路468號1樓,1,1081125,1121128,25.06478844506,121.58552364328,門牌級(arcgis),"台北市內湖區新湖二路369號, 114065",97.06
22555003,統一超商股份有限公司,54919132,台北市第九九二分公司,臺北市信義區中坡北路１１號1樓,1,1081128,1121128,25.044606297763,121.581000472224,門牌級(arcgis),"台北市信義區永春里中坡北路11號, 11062",100
22555003,統一超商股份有限公司,54919323,台北市第九九三分公司,臺北市信義區信義路5段5號1樓,1,1081219,1121128,25.033151966069,121.562339673546,門牌級(arcgis),"台北市信義區西村里信義路五段5號, 11011",100
22555003,統一超商股份有限公司,60302757,台北市第一一九四分公司,臺北市南港區經貿二路111號七樓,1,1150311,       ,25.058567530968,121.617861483999,門牌級(arcgis),"台北市南港區三重里經貿二路111號七F, 11568",100
22555003,統一超商股份有限公司,60303019,台北市第一二八七分公司,臺北市萬華區內江街43號,1,1150320,       ,25.041688850635,121.505492600382,門牌級(arcgis),"台北市萬華區西門里內江街43號, 10845",100
22555003,統一超商股份有限公司,60364090,台北市第一二八三分公司,臺北市大安區光復南路686-2、686-3、688號,1,1150120,       ,25.030036571534,121.557266662265,門牌級(arcgis),"台北市大安區光復南路686號, 106048",95.42
22555003,統一超商股份有限公司,60364129,台北市第一二八四分公司,臺北市松山區光復南路46巷9號、11號,1,1150120,       ,25.046147637985,121.557100322656,門牌級(arcgis),"台北市松山區延吉街商圈光復南路46巷9號, 105047",98.05
22555003,統一超商股份有限公司,60364351,台北市第一二八五分公司,臺北市大安區仁愛路四段29號,1,1150130,       ,25.038216270059,121.545500094791,門牌級(arcgis),"台北市大安區仁愛里仁愛路四段29號, 10685",100
22555003,統一超商股份有限公司,60376639,台北市第一二八六分公司,臺北市中山區松江路277號、277之1號,1,1150213,       ,25.060093602209,121.533317668248,門牌級(arcgis),"台北市中山區松江路277號, 104072",96.56
22555003,統一超商股份有限公司,60383462,台北市第一一九二分公司,臺北市文山區景興路202巷11號,1,1141223,       ,24.991830482609,121.543209320653,門牌級(arcgis),"台北市文山區景行里景興路202巷11號, 11669",100
22555003,統一超商股份有限公司,60383499,台北市第一二八０分公司,臺北市信義區忠孝東路五段236巷6號及6之1號,1,1141223,       ,25.040344058089,121.571786581339,門牌級(arcgis),"台北市信義區廣居里忠孝東路五段236巷6號, 11060",95.66
22555003,統一超商股份有限公司,60383532,台北市第一二七九分公司,臺北市大安區復興南路二段116號,1,1141226,       ,25.029332961435,121.543282746125,門牌級(arcgis),"台北市大安區龍陣里復興南路二段116號, 10664",100
22555003,統一超商股份有限公司,60383575,台北市第一一九三分公司,臺北市文山區辛亥路四段99號,1,1141226,       ,25.006775374062,121.558696227874,門牌級(arcgis),"台北市文山區興昌里辛亥路四段99號, 11693",100
22555003,統一超商股份有限公司,60384151,台北市第一二八二分公司,臺北市松山區南京東路五段254號,1,1150112,       ,25.051153863338,121.566300206616,門牌級(arcgis),"台北市松山區新聚里南京東路五段254號, 10569",100
22555003,統一超商股份有限公司,60481674,台北市第一二六六分公司,臺北市中山區德惠街200號,1,1140923,       ,25.066458673713,121.532785166769,門牌級(arcgis),"台北市中山區新喜里德惠街200號, 10471",100
22555003,統一超商股份有限公司,60482033,台北市第一一八九分公司,臺北市南港區向陽路120巷2弄35號,1,1141009,       ,25.054815413922,121.597658834233,門牌級(arcgis),"台北市南港區東新里向陽路120巷2弄35號, 11551",100
22555003,統一超商股份有限公司,60482060,台北市第一二六七分公司,臺北市中正區臨沂街65巷25號、27號,1,1141009,       ,25.041364400448,121.530358482283,門牌級(arcgis),"台北市中正區臨沂街25號, 100010",95.44
22555003,統一超商股份有限公司,60482168,台北市第一二六八分公司,臺北市大安區金華街241之1號,1,1141028,       ,25.029811052805,121.530560442234,門牌級(arcgis),"台北市大安區永康商圈金華街241號, 106",98.67
22555003,統一超商股份有限公司,60482174,台北市第一二六九分公司,臺北市松山區延壽街91號、93號,1,1141013,       ,25.057188542821,121.566695011866,門牌級(arcgis),"台北市松山區延壽街91號, 105067",97.68
22555003,統一超商股份有限公司,60482364,台北市第一二七０分公司,臺北市信義區吳興街220巷33號,1,1141020,       ,25.027197713511,121.562306565029,門牌級(arcgis),"台北市信義區景勤里吳興街220巷33號, 11042",100
22555003,統一超商股份有限公司,60482483,台北市第一二七一分公司,臺北市大安區全安里樂利路74號1樓,1,1141021,       ,25.025758456916,121.551906718664,門牌級(arcgis),"台北市大安區全安里樂利路74號, 10679",100
22555003,統一超商股份有限公司,60482580,台北市第一二七二分公司,臺北市北投區大同里大同街26號,1,1141027,       ,25.133232099532,121.499214722542,門牌級(arcgis),"台北市北投區大同里大同街26號, 11249",100
22555003,統一超商股份有限公司,60510087,台北市第一二八一分公司,臺北市內湖區大湖山莊街150號,1,1141229,       ,25.086288454517,121.601486095042,門牌級(arcgis),"台北市內湖區大湖里大湖山莊街150號, 11456",100
22555003,統一超商股份有限公司,60521606,台北市第一一九０分公司,臺北市文山區興隆路四段72-2號、74巷2、4號,1,1141126,       ,24.984139934461,121.561721444269,門牌級(arcgis),"台北市文山區興隆路四段74巷2號, 116023",97.03
22555003,統一超商股份有限公司,60521676,台北市第一一九一分公司,臺北市南港區舊莊街一段81、83號,1,1141127,       ,25.04087348359,121.619053377395,門牌級(arcgis),"台北市南港區舊莊街一段81號, 115022",97.79
22555003,統一超商股份有限公司,60521681,台北市第一二七三分公司,臺北市北投區復興四路21、23號1樓,1,1141127,       ,25.142060770852,121.499963855606,門牌級(arcgis),"台北市北投區復興四路21號, 112056",98.44
22555003,統一超商股份有限公司,60521872,台北市第一二七六分公司,臺北市松山區八德路四段22號、22之1號,1,1141202,       ,25.048181257086,121.558760819536,門牌級(arcgis),"台北市松山區八德路四段22號, 105048",97.06
22555003,統一超商股份有限公司,60521887,台北市第一二七五分公司,臺北市中山區北安路595巷14、16號,1,1141202,       ,25.082111877893,121.547812494239,門牌級(arcgis),"台北市中山區大直里北安路595巷16號, 10463",92.75
22555003,統一超商股份有限公司,60521937,台北市第一二七四分公司,臺北市萬華區中華路二段430號,1,1141203,       ,25.027369584435,121.506278319986,門牌級(arcgis),"台北市萬華區新和里中華路二段430號, 10881",100
22555003,統一超商股份有限公司,60521943,台北市第一二七八分公司,臺北市士林區美崙街51號,1,1141203,       ,25.097039754082,121.522421194949,門牌級(arcgis),"台北市士林區福佳里美崙街51號, 11160",100
22555003,統一超商股份有限公司,60521958,台北市第一二七七分公司,臺北市中山區中原街132號,1,1141203,       ,25.063053777005,121.5289197683,門牌級(arcgis),"台北市中山區新福里中原街132號, 10470",100
22555003,統一超商股份有限公司,60600165,台北市第一一八八分公司,臺北市文山區興隆路三段185巷7弄2號,1,1140902,       ,24.995590394826,121.561695356649,門牌級(arcgis),"台北市文山區興家里興隆路三段185巷7弄2號, 11696",100
22555003,統一超商股份有限公司,60600171,台北市第一二六一分公司,臺北市松山區三民路137號1樓,1,1140902,       ,25.060318049537,121.563139810023,門牌級(arcgis),"台北市松山區三民里三民路137號, 10588",100
