id,host_id,latitude,longitude,neighbourhood_cleansed,room_type,Y_vacancy,Y_high_risk,accommodates,bedrooms,beds,bathrooms_count,is_shared_bath,price,minimum_nights,maximum_nights,min_nights_avg_ntm,instant_bookable,self_checkin,room_type_code,neighbourhood_code,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price_pctl_nbhd,score_pctl_nbhd,amenities_vs_median,nbr_density_1km,nbr_density_same_type_1km,host_acceptance_rate,host_response_rate,response_speed,host_is_superhost,host_listings_count,calculated_host_listings_count,host_tenure_days,desc_len,host_about_len,neighborhood_overview_len,amenities_count,hotel_count_1km,hotel_count_500m,airbnb_hotel_supply_ratio,price_per_person,price_per_bedroom,beds_per_person
1310023617592433647,136010110,25.0425,121.50235,萬華區,Entire home/apt,0.9534246575342465,1,4,1.0,2.0,1.0,False,1543.0,2,365,2.0,0,0,0,11,4.96,4.96,4.93,5.0,5.0,4.86,4.86,0.3530130293159609,0.8422391857506362,1.1481481481481481,1496,1281,0.93,1.0,4.0,1,39,37,3024,518,66,0,31,104,44,14.247619047619047,385.75,1543.0,0.5
1310753546166512300,54438414,25.0523106,121.5286339,中山區,Entire home/apt,1.0,1,4,2.0,2.0,1.0,False,1858.0,30,365,30.0,0,0,0,0,,,,,,,,0.28007889546351084,,1.5510204081632653,462,307,0.8,1.0,4.0,1,21,10,3548,447,90,0,38,93,34,4.914893617021277,464.5,929.0,0.5
1310886377676796448,151400959,25.043353018732795,121.5037204835435,萬華區,Entire home/apt,0.18356164383561643,0,3,1.0,2.0,1.0,False,1922.0,1,365,2.1,1,1,0,11,4.78,4.87,4.57,4.78,4.87,4.78,4.78,0.5443811074918566,0.4385072094995759,1.1481481481481481,1555,1304,0.89,1.0,4.0,0,21,14,2932,1000,96,0,31,120,75,12.851239669421487,640.6666666666666,1922.0,0.6666666666666666
1311236467729478954,67202633,25.04245,121.50684,萬華區,Entire home/apt,0.2191780821917808,0,2,1.0,1.0,1.0,False,1827.0,1,365,1.0,0,0,0,11,4.84,4.86,4.82,4.9,4.86,4.98,4.84,0.49063517915309446,0.5831212892281594,0.6666666666666666,1724,1443,0.9,0.95,4.0,0,21,21,3456,375,23,0,18,148,81,11.570469798657719,913.5,1827.0,0.5
1311281510445359608,9595798,25.05203347882444,121.5140264728312,大同區,Entire home/apt,0.4657534246575342,0,6,2.0,3.0,1.0,False,2416.0,2,180,2.0,0,1,0,7,3.79,4.29,3.64,4.21,4.36,4.5,4.21,0.42790697674418604,0.019230769230769232,0.9032258064516129,893,640,0.9,1.0,4.0,0,15,4,4360,531,185,0,28,152,44,5.836601307189542,402.6666666666667,1208.0,0.5
1311382508458844628,191113855,25.04485398441785,121.50456549180107,萬華區,Private room,1.0,1,6,1.0,1.0,1.0,True,1590.0,1,365,1.0,0,0,2,11,,,,,,,,0.6455696202531646,,0.391304347826087,1592,219,0.53,1.0,4.0,1,12,12,2687,1000,4,0,9,134,79,11.792592592592593,265.0,1590.0,0.16666666666666666
1311418879911818409,235623230,25.024400664961668,121.52395951995013,中正區,Entire home/apt,0.8465753424657534,1,5,3.0,3.0,2.0,False,3217.0,30,365,29.5,0,0,0,1,4.67,4.67,4.67,4.67,4.67,4.67,4.67,0.6233480176211453,0.19399538106235567,0.9285714285714286,452,204,0.98,1.0,3.0,1,4,4,2455,500,31,0,26,10,4,41.09090909090909,643.4,1072.3333333333333,0.6
1312042685290504380,71237861,25.0481859,121.507629,萬華區,Entire home/apt,0.18356164383561643,0,2,1.0,1.0,1.0,False,536.0,1,365,1.0,0,0,0,11,4.54,4.61,4.57,4.61,4.7,4.83,4.61,0.0016286644951140066,0.1183206106870229,1.4444444444444444,1892,1543,0.66,0.99,4.0,0,4,4,3430,1000,447,0,39,188,53,10.010582010582011,268.0,536.0,0.5
1312104433850098189,191113855,25.04611936725373,121.50520760816804,萬華區,Private room,1.0,1,2,0.0,2.0,1.5,False,486.0,1,365,1.0,0,0,2,11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.04430379746835443,0.925531914893617,0.6956521739130435,1682,234,0.53,1.0,4.0,1,12,12,2687,1000,4,0,16,145,77,11.520547945205479,243.0,,1.0
1312420675966861182,574311668,25.04493,121.57246,信義區,Private room,0.31232876712328766,0,3,1.0,2.0,1.0,True,980.0,3,365,3.0,0,1,2,2,4.7,4.7,4.8,4.2,4.5,4.5,4.5,0.47928994082840237,0.4,1.6521739130434783,347,91,0.74,0.99,4.0,0,22,22,522,311,416,415,38,24,3,13.88,326.6666666666667,980.0,0.6666666666666666
1312871053299724375,162327486,25.051952497303525,121.51303375771288,大同區,Entire home/apt,0.32602739726027397,0,10,3.0,5.0,2.0,False,4454.0,2,365,2.0,0,0,0,7,4.62,4.68,4.38,4.65,4.59,4.84,4.59,0.7906976744186046,0.12740384615384615,0.7096774193548387,1007,739,0.91,1.0,2.0,0,1,1,2849,225,42,0,22,149,42,6.713333333333333,445.4,1484.6666666666667,0.5
1313039785626238429,1398361,25.03884106764131,121.55311052008288,大安區,Entire home/apt,0.0,0,6,3.0,,2.0,False,,1,1125,8.8,1,1,0,8,5.0,5.0,4.83,5.0,5.0,5.0,5.0,,0.8868852459016393,1.2424242424242424,515,427,0.95,1.0,4.0,1,11,11,5071,480,802,0,41,26,7,19.074074074074073,,,
1313413525866716679,9613707,25.02707797118017,121.49631830659142,萬華區,Entire home/apt,0.7890410958904109,1,2,1.0,1.0,1.0,False,2979.0,1,365,1.0,0,0,0,11,4.87,4.87,4.68,4.87,4.95,4.68,4.76,0.8131107491856677,0.6696352841391009,1.2962962962962963,40,25,0.96,1.0,4.0,0,2,2,4359,677,101,0,35,2,0,13.333333333333334,1489.5,2979.0,0.5
1313537496738562733,576044022,25.042898128092403,121.54371730809623,大安區,Entire home/apt,0.2465753424657534,0,2,1.0,,1.0,False,,30,365,30.0,0,1,0,8,4.5,4.6,4.7,4.8,4.9,4.8,4.5,,0.07459016393442623,1.0909090909090908,431,365,0.72,0.94,4.0,0,15,15,512,518,416,0,36,29,8,14.366666666666667,,,
1313599072422949893,574311668,25.041123241898493,121.54821595023748,大安區,Entire home/apt,0.29315068493150687,0,2,1.0,1.0,1.0,False,1800.0,3,365,3.0,0,1,0,8,4.83,4.83,5.0,4.67,4.67,5.0,4.67,0.18952234206471494,0.49098360655737705,1.0,518,444,0.74,0.99,4.0,0,22,22,522,588,416,414,33,32,12,15.696969696969697,900.0,1800.0,0.5
1313649543300307613,574311668,25.0405605927434,121.54793559687076,大安區,Entire home/apt,0.3780821917808219,0,2,1.0,1.0,1.0,False,1215.0,3,365,3.0,0,1,0,8,4.25,4.5,4.25,5.0,5.0,5.0,4.75,0.0724191063174114,0.04426229508196721,1.0,532,451,0.74,0.99,4.0,0,22,22,522,588,416,414,33,34,12,15.2,607.5,1215.0,0.5
1313714908331535544,574311668,25.040504638691694,121.54790723714324,大安區,Entire home/apt,0.21643835616438356,0,4,1.0,2.0,1.0,False,1286.0,3,365,3.0,0,1,0,8,4.25,4.5,4.0,5.0,5.0,5.0,4.25,0.08166409861325115,0.04426229508196721,1.0303030303030303,532,452,0.74,0.99,4.0,0,22,22,522,588,416,414,34,34,12,15.2,321.5,1286.0,0.5
