id,host_id,name,neighbourhood_cleansed,room_type,price,availability_90,unmatched_reason
1529510124229912845,597100626,[有窗]Bright 4-Person Stay｜Near MRT Ximen 5512,萬華區,Entire home/apt,"$1,400.00",46,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529515041382103733,597100626,[有窗]Quad Room｜Group Travel｜Near MRT Ximen,萬華區,Entire home/apt,"$1,400.00",62,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529520343654433560,597100626,[有窗]Affordable double room | Near Ximen MRT 6A,萬華區,Entire home/apt,"$1,100.00",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529547527245862349,597100626,[有窗]Quad Room｜Food + Shop Paradise |  MRT Ximen,中正區,Entire home/apt,"$1,520.00",38,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1529551514658055894,597100626,[有窗]Cozy Double Stay｜West Taipei  | Near MRT Ximen,中正區,Entire home/apt,"$1,100.00",59,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1530168187700344568,711061309,"台北市中心, 永康街美食, 2 家鼎泰豐, 東門市場捷運1分鐘, 近西門町, 台北車站, 101世貿",中正區,Entire home/apt,"$3,948.67",50,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1530190956365655173,711061309,"中山堂正對面｜近西門町｜台北車站｜台大醫院｜東門永康街｜101世貿｜鬧中取靜,交通便利,生活機能佳.",中正區,Entire home/apt,"$2,853.00",0,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532454946443593142,170273202,Leisure Four | Taipei  18 | Near MRT Ximen,萬華區,Entire home/apt,"$1,520.00",58,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532454988117874658,170273202,[有窗]Elegant City Escape for Two｜Near MRT Ximen,萬華區,Entire home/apt,"$1,300.00",83,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532455040762912520,170273202,Sweet & Cozy Room | Near MRT Ximen | 06R2,萬華區,Entire home/apt,"$1,400.00",63,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532470976789306223,170273202,[有窗]Xiaoyao Double Room｜Near MRT Ximen  Tour,萬華區,Entire home/apt,"$1,425.00",47,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532475175645234825,170273202,Studio for Two Double Room｜West  | Near Ximen,萬華區,Entire home/apt,"$1,550.00",79,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
1532587447772678223,513269635,西門町/RMT5分鐘/台北車站/上百間美食/台灣潮流聖地,萬華區,Entire home/apt,"$1,977.64",69,2026年6/7月新上架房源，歷史資料(2025)中查無此 host_id 之 host_since 紀錄 (真實新房東/冷啟動)
