osm_type,osm_id,name,tourism_type,latitude,longitude
node,4596733575,C U Hotel,hotel,25.0569797,121.5164478
node,4604331782,台北漫步旅店,hostel,25.0438313,121.5024671
node,4646608900,快樂台北,hostel,25.0901704,121.5264913
node,4756017486,康寧生活會館,hotel,25.0755951,121.6087941
node,4782136823,Jiizu Hostel,hostel,25.0517176,121.5636227
node,4794229023,睡覺盒子青年旅館,hostel,25.0421632,121.5123924
node,4807169221,,motel,25.0316416,121.4991449
node,4808895826,茄子青旅,hostel,25.0518747,121.5605862
node,4811426121,,hotel,25.0541169,121.5139163
node,4819304922,慶爾喜旅館,hotel,25.0456994,121.5048838
node,4837986364,豪麗飯店,hotel,25.0410894,121.5463011
node,4837986383,百花商務飯店,hotel,25.0385794,121.5248105
node,4837986522,福華旅邸,hotel,25.0547244,121.5451763
node,4838086696,昌吉一號記憶旅店,hotel,25.0660329,121.517903
node,4838087629,ART' OTEL,hotel,25.0453306,121.5034971
node,4838087636,Millia Hotel,hotel,25.0431335,121.5058356
node,4838087694,玩味旅舍,hotel,25.0549413,121.5163472
node,4838087726,大稻埕花園旅店,hotel,25.0621688,121.5090956
node,4838087761,橋泰商務旅館,hotel,25.0634321,121.5109567
node,4983984604,丰居旅店,hotel,25.057824,121.5245497
node,4995882686,凱達大飯店,hotel,25.0333062,121.4996308
node,5038755617,MAIN INN,hotel,25.0495976,121.5144861
node,5059352325,,guest_house,25.0329035,121.5502602
node,5095512241,文舺行旅,hotel,25.0375712,121.4996918
node,5110245064,方舟旅店,hotel,25.0338364,121.5314764
node,5110269773,HOUZE HOSTEL,hotel,25.0523808,121.5343176
node,5110348541,松山意舍酒店,hotel,25.0493021,121.5805095
node,5110348558,東旅,hotel,25.0517226,121.5603101
node,5110348561,巴客來青年旅館,hostel,25.048536,121.5761806
node,5110348575,一等好旅店,hotel,25.0495749,121.5740152
node,5110349517,仲信大湖商旅,hotel,25.0844633,121.5998456
node,5110489273,新世界飯店,hotel,25.0409847,121.5045421
node,5110489276,玫瑰精品會館,hotel,25.0490553,121.5207258
node,5110489281,迎賓旅社,hotel,25.0505128,121.5155996
node,5110489284,獅城大飯店,hotel,25.0503253,121.5155824
node,5110489286,Dog Hole Hotel,hotel,25.0497396,121.5179133
node,5110489299,千彩格精品旅店,hotel,25.055661,121.5252161
node,5110489315,LV精緻旅店,hotel,25.0597838,121.5261606
node,5110489317,錦棧旅,hotel,25.0598674,121.5257608
node,5110489745,緒遠旅館,hotel,25.0601896,121.5241643
node,5110489747,珍美Hotel,hotel,25.0602022,121.5238829
node,5110489768,君臨Hotel,hotel,25.0964231,121.5244363
node,5110489809,米尼青年旅店,hotel,25.0461613,121.518941
node,5110490221,藝宿文旅,hotel,25.0470797,121.5052425
node,5110490225,欣欣時尚旅館,hotel,25.0470276,121.5058381
node,5110490226,一加一旅館,hotel,25.0470643,121.5057844
node,5110490227,宓琪旅館,hotel,25.0469655,121.5058061
node,5110490244,皇家玫瑰旅館,hotel,25.0463835,121.5071083
node,5110490247,U HOTEL,hotel,25.0462798,121.5071103
node,5110490248,西門邑居,hotel,25.0459181,121.5069944
node,5110490249,旅居文旅,hotel,25.0462163,121.5070775
node,5110490270,麗雅精品旅館,hotel,25.0547807,121.5262094
node,5110490306,Flipflop Hostel,hostel,25.0498841,121.5172748
node,5110491025,柯達大飯店,hotel,25.0528139,121.5231837
node,5302777542,北門窩泊旅,hotel,25.0522481,121.5155035
node,5310769993,台糖台北會館,hotel,25.045471,121.509794
node,5313864468,城市商旅,hotel,25.0515209,121.5701078
node,5314324318,富景商旅,hotel,25.0506132,121.5698123
node,5334717722,南西六號公寓,hostel,25.0523187,121.5198629
node,5338403921,,hostel,25.04131,121.5066583
node,5346792179,阿樹國際旅店,hotel,25.0479136,121.5527611
node,5351899071,maple'Smile,hotel,25.1447186,121.5683893
node,5468442322,S&J 氧氣台北台大公館國際酒店式公寓,hotel,25.0158119,121.5322464
node,5495149522,吉泰旅店,hotel,25.0909541,121.52562
node,5551907224,你好咖啡旅館,hotel,25.0338512,121.542299
node,5563917934,棧留台北,hostel,25.0444545,121.5133797
node,5568220048,尚印旅店,hotel,25.0573946,121.5232126
node,5568220049,中山莉豪商務旅店,hotel,25.0572698,121.5232079
node,5599663425,峻美精品旅店,hotel,25.0547808,121.5263359
node,5661164135,Grace Hotel 葛瑞絲商旅,hotel,25.0028782,121.4988595
node,5739420397,流民棧,hostel,25.0157161,121.5154517
node,5832709458,吉林汽車旅館,motel,25.0656401,121.618435
node,5833685992,臺北大亞帝國,hotel,25.0460875,121.5158272
node,5839258670,EFCA愛客発商務旅館西門2館,hotel,25.0433153,121.5041099
node,5839266784,,hotel,25.04343,121.5034164
node,5839491742,台北商旅,hotel,25.0387078,121.5462423
node,5923884744,Zebra apartments,hostel,25.0427128,121.5012924
node,6050500241,天倫旅社,hotel,25.0887194,121.5253532
node,6093264185,台北有愛公寓,hostel,25.048519,121.5204957
node,6111946997,天雲旅棧台北基河,hotel,25.0829945,121.5242392
node,6137457604,hotel QUOTE Taipei,hotel,25.051991,121.547412
node,6158754865,基泰酒店式公寓,hotel,25.0250934,121.5537253
node,6166999285,,hotel,25.045907,121.5054162
node,6188986709,三和旅舍,hostel,25.0676909,121.5006485
node,6224730656,詩漫精品旅館,hotel,25.0457595,121.5146246
node,6224730657,雅璞文旅,hotel,25.0457634,121.5147242
node,6344401707,南港老爺行旅,hotel,25.0598812,121.6147347
node,6415478295,昇行旅背包客棧,hostel,25.0101597,121.520488
node,6416162017,The Loft - 沐舍時尚酒店,hotel,25.0002835,121.4853601
node,6418121431,久居棧旅店,hotel,25.0625664,121.5116071
node,6433456337,皇后旅店二館,hotel,25.0541162,121.5131584
node,6499715243,Hoyumi Hotel,hotel,25.0531173,121.5231563
node,6499848170,Jian Shan,hotel,25.0581301,121.512227
node,6568146970,寓見青旅,hostel,25.0357912,121.5032919
node,6579380116,牡丹居,hotel,25.0658777,121.5116932
node,6602462504,安得國際青年旅店,hostel,25.0450083,121.5176963
node,6682287324,賓王大飯店,hotel,25.0541054,121.5131584
node,6770880785,壹03·旅,hostel,25.0499682,121.5231133
node,6789300807,台北碧瑤飯店,hotel,25.0479034,121.544781
node,6939523039,夜光商旅,hotel,25.0422225,121.5053451
node,6939523040,西門居易,hotel,25.0425311,121.5054148
node,6939523043,長樂町旅店,hotel,25.0425166,121.505219
node,6939523044,達福旅店,hotel,25.0426235,121.505262
node,7012059673,miniinn,hostel,25.0459752,121.518987
node,7021139514,五月花民宿,hostel,25.0548582,121.6104662
node,7211952419,Qtime,hostel,25.041809,121.5515068
node,7211952421,凡登台北商務旅店,hotel,25.0417414,121.5516427
node,7211952422,有統Hotel,hotel,25.0418471,121.5516669
node,7212236783,York 約克設計旅店,hotel,25.0449691,121.5162444
node,7255698372,卡夫人背包客棧,hostel,25.0447094,121.5148919
node,7320973052,清心翼居設計旅社,hotel,25.0452983,121.5160062
node,7652736150,葳皇時尚飯店,hotel,25.0591454,121.5116467
node,7652736151,意芙旅店,hotel,25.0593159,121.5116069
node,8059094180,薇風馥麗飯店,hotel,25.077396,121.484843
node,8059094182,花蝶晶漾商旅（HOTEL）,hotel,25.053349,121.451488
node,8059100986,台北集賢商旅,hotel,25.0831829,121.4804904
node,8059100988,美麗海精品汽車旅館,hotel,25.0604123,121.4621246
node,8059100993,捷絲旅台北三重館,hotel,25.077349,121.487489
node,8059100995,幸福讚精品飯店,hotel,25.050988,121.461143
node,8059101001,成旅晶贊飯店台北蘆洲,hotel,25.080429,121.480455
node,8059101002,慶城商旅,hotel,25.0604297,121.4979944
node,8059101003,上品閣精品旅館,hotel,25.073198,121.493181
node,8059101006,名華大旅社,hotel,25.065202,121.502479
node,8059101008,薇薇精品旅館,hotel,25.082416,121.482333
node,8059101014,樂頤飯店,hotel,25.0820559,121.4800619
node,8059101015,名爵汽車旅館,hotel,25.064789,121.49728
node,8059101017,嘉年華汽車旅館,hotel,25.082571,121.480634
node,8059101021,三和旅舍,hotel,25.067675,121.500698
node,8085453132,信星旅館,hotel,25.0501863,121.515401
node,8085453133,嘉榮青年旅店,hotel,25.050135,121.514756
node,8085453134,璞漣商務旅館臺北車站店,hotel,25.0500567,121.5157328
node,8085453135,門埕青旅,hotel,25.049736,121.514478
node,8085453136,漫步1948,hotel,25.050467,121.5151217
node,8085453141,梅樓商務驛站,hotel,25.049744,121.514315
node,8085453143,配普特行旅,hotel,25.049511,121.514481
node,8280854486,台北奧斯金旅店,hotel,25.0425473,121.5129844
node,8397520228,寧夏2號旅店,hotel,25.0543947,121.5146843
node,8789190025,銀座飯店,hotel,25.0555544,121.5257286
node,8811351164,天閣酒店,hotel,25.050053,121.5243855
node,8821427484,大地酒店,hotel,25.1346386,121.5073171
node,8823518469,喬太商務旅館,hotel,25.0191062,121.4795853
node,9310169089,台北新板希爾頓酒店,hotel,25.0113872,121.4625357
node,9429930622,薇米商旅,hotel,25.0616154,121.4974326
node,10009325637,寒居酒店,hotel,25.0516423,121.5327667
node,10253265724,We Come Hostel,hostel,25.0527438,121.5110643
node,10738442807,雀客藏居新北三重水漾,hotel,25.0556726,121.482799
node,10752516033,陸號行旅,hotel,25.044737,121.5084303
node,10755280662,索拉利亞西鐵飯店台北西門,hotel,25.0451717,121.5083749
node,11061673377,清翼居旅店,hotel,25.0070355,121.4604043
node,11061673378,台北輕旅複合式旅店,hotel,25.0072788,121.4600284
node,11240105217,路徒PLUS行旅 主題館,hotel,25.0467654,121.5138216
node,11257042190,大湖璞旅,hotel,25.0733254,121.6065509
node,11293962130,CityInn,hotel,25.0510728,121.5167562
node,11294029207,Dongmen 3,hostel,25.0337761,121.527701
node,11294039120,Bchic,hotel,25.0536201,121.5278591
node,11294039989,RF Hotel Linsen,hotel,25.0497147,121.5257906
node,11355878091,金弘旅社,hotel,25.0538092,121.5129819
node,11355878095,福來旅社,hotel,25.0534235,121.5122681
node,11355878096,瑾旅南西館,hotel,25.054142,121.5136225
node,11360281028,台北桃禧大飯店,hotel,25.0522856,121.5142756
node,11360281033,悅心旅,hotel,25.0512612,121.5140615
node,11393086469,Wow,hostel,25.0443356,121.50738
node,11397030769,,hostel,25.0315585,121.558501
node,11406853381,老爺會館台北南西,hotel,25.0525352,121.5219267
node,11450107369,台灣青旅膠囊旅店,hostel,25.0450314,121.517779
node,11491898923,大倫558養生美容院,hostel,25.1355718,121.5399225
node,11491922276,大倫557養生殿,hostel,25.1355576,121.5399321
node,11559675939,儷萊飯店(普亨萊大飯店),hotel,25.046399,121.5099455
node,11559675940,悅來精品旅館,hotel,25.0463655,121.5099389
node,11559675941,金財神旅館,hotel,25.0464176,121.5099497
node,11762628102,男生宿舍,hostel,24.9676605,121.5137137
node,11762628103,女生宿舍,hostel,24.9665536,121.5145377
node,11945587491,囍閱文旅,hotel,25.0407049,121.5069175
node,12083322350,瑞桑德,hotel,25.0467758,121.5135349
node,12092531786,漫映旅舍,hotel,25.0516215,121.5298495
node,12128335383,T.O. Hotel 台北車站館,hotel,25.0458686,121.514406
node,12143956201,PURE st-ay,hostel,25.0525243,121.5127518
node,12218730259,台北漢來皇家鬱金香酒店,hotel,25.0578505,121.619913
node,12228744833,旅居文旅西門驛站昆明館,hotel,25.0425457,121.504637
node,12231665901,Gawa Motel,motel,25.0565928,121.5248446
node,12297186987,珂曼旅館,hotel,25.0459514,121.5070094
node,12438632284,台北中山意舍酒店,hotel,25.0557427,121.5230484
node,12458715211,路徒PLUS行旅 站前館,hotel,25.0467653,121.5138277
node,12466891352,希爾商旅台北館,hotel,25.0523665,121.5284751
node,12570502800,Yen Inn,hotel,25.0067724,121.4598709
node,12702550901,台北棧旅店 Taipei inn,hostel,25.0454456,121.5156197
node,12790902301,富玉莊旅館,hotel,25.0876159,121.5191302
node,12802618201,町記憶旅店,hotel,25.0418862,121.504685
node,12996550601,Triple Tiger Inn,hostel,25.0437006,121.5045487
node,13325475952,Capella,hotel,25.0532059,121.5499771
node,13334327611,能量旅店,hotel,25.0435417,121.5045261
node,13337714413,AKA Hotel,hotel,25.0304958,121.5275465
node,13373796960,高絲旅時尚旅館漢口館,hotel,25.0457511,121.5058128
node,13377617340,馥俐旅店,hotel,25.0090105,121.4578901
node,13426651601,,hotel,25.0509339,121.5332564
node,13443932101,合星青年旅館,hostel,25.0420015,121.5497295
node,13476132301,方舟旅店長安復興館,hotel,25.0481322,121.5430439
node,13481520001,日光拾玖,hotel,25.0462051,121.5157947
node,13481893428,黎明旅館,hotel,24.9809848,121.5415568
node,13591916136,Chengdian Hotel,hotel,25.0136267,121.4606997
node,13733754124,瀚寓酒店,hotel,25.0398406,121.5632267
node,13967895801,歐法行旅,hotel,25.0447336,121.5085815
way,74144695,麒麟商務會館,hotel,25.0559149,121.5967571
